"","resource","scan_date","permalink","positives","total","ADMINUSLabs","AegisLab WebGuard","AlienVault","Antiy-AVL","AutoShun","Avira","Baidu-International","BitDefender","Blueliv","Certly","CLEAN MX","CloudStat"," CloudStat","Comodo Site Inspector","CRDF","C-SIRT","CyberCrime","desenmascara.me","Dr.Web","Emsisoft","ESET","Fortinet","FraudScore","FraudSense","G-Data","Google Safebrowsing","K7AntiVirus","Kaspersky","Malc0de Database","Malekal","Malwarebytes hpHosts","Malwared","Malware Domain Blocklist","MalwareDomainList","MalwarePatrol","malwares.com URL checker","Minotaur","Netcraft","Nucleon","OpenPhish","Opera","PalevoTracker","ParetoLogic","PhishLabs","Phishtank","Quick Heal","Quttera","Rising","Sangfor","SCUMWARE.org","SecureBrain","securolytics","Sophos","Spam404","SpyEyeTracker","StopBadware","Sucuri SiteCheck","Tencent","ThreatHive","TrendMicro","Trustwave","URLQuery","VX Vault","Web Security Guard","Websense ThreatSeeker","Webutation","Wepawet","WOT","Yandex Safebrowsing","ZCloudsec","ZDB Zeus","ZeroCERT","Zerofox","ZeusTracker","zvelo","<NA>","as","city","country","countryCode","isp","lat","lon","org","query","region","regionName","status","timezone","zip"
"323","docs.google.com","2017-05-02 03:49:19","https://www.virustotal.com/url/a639368c1d21947b98fad44f4520f14f6c645656413ba74a8e6dd185bd3742fd/analysis/1493696959/","2","65","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","clean site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","phishing site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"malware site","unrated site","clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS15169 Google Inc.","Jupiter","United States","US","Google",26.937,-80.135,"Google","172.217.11.14","FL","Florida","success","America/New_York","33458"
"1183","lh3.ggpht.com","2017-05-02 03:03:37","https://www.virustotal.com/url/4ef208faf9d50b0ea5a1aa6ef5d1bb364bd1f31265f0bbda0641f2ab2578e076/analysis/1493694217/","2","65","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","clean site","clean site","clean site","phishing site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"malware site","unrated site","clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS15169 Google Inc.","Jupiter","United States","US","Google",26.937,-80.135,"Google","172.217.11.1","FL","Florida","success","America/New_York","33458"
"1824","login.msa.akadns6.net","2017-04-28 15:26:43","https://www.virustotal.com/url/114494938a1c94fc1b11334f2e6af80bff2778380379c4c32233cb866ae4457b/analysis/1493393203/","4","65","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","phishing site","clean site","clean site","phishing site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","phishing site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"clean site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site",NA,"clean site","clean site","malware site","clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS8075 Microsoft Corporation","Newark","United States","US","Microsoft Corp",40.7357,-74.1724,"Microsoft Corporation","131.253.61.64","NJ","New Jersey","success","America/New_York",""
"1947","ads.avocet.io","2017-05-02 04:07:07","https://www.virustotal.com/url/f103fa01b8357c289f86a44ef21c9ca872d72b0ff84fb7525eb7213681c13ca2/analysis/1493698027/","2","66","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","phishing site","clean site","clean site","suspicious site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","malicious site","clean site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS14618 Amazon.com, Inc.","Ashburn","United States","US","Amazon.com",39.0481,-77.4728,"Amazon.com","34.199.97.28","VA","Virginia","success","America/New_York","20149"
"2238","syndication.exoclick.com","2017-05-02 12:49:37","https://www.virustotal.com/url/57abaf1c2f6886ec67679f95855f9fdfacb7ba71fa2d837f174a2dd98470ce6d/analysis/1493729377/","2","65","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","clean site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","malicious site","clean site","clean site","malware site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS23393 ISPrime, Inc.","Weehawken","United States","US","ISPrime",40.7696,-74.0204,"ISPrime","64.111.199.222","NJ","New Jersey","success","America/New_York","07086"
"3672","urs.microsoft.com.nsatc.net","2017-01-29 00:50:40","https://www.virustotal.com/url/c8865e9eee4dc82ae3b367a8ede0cee93953a3ad99fc8528716106579992d6cb/analysis/1485651040/","2","65","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","malware site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","clean site","malicious site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS8075 Microsoft Corporation","Boydton","United States","US","Microsoft Corporation",36.6676,-78.3875,"Microsoft Azure","40.79.73.139","VA","Virginia","success","America/New_York","23917"
"3869","caixa.gov.br","2017-05-01 23:01:44","https://www.virustotal.com/url/e1d43be4945524138ca2c2432b3f499ec23aef53bba1eb74d26ed9d9878fdaca/analysis/1493679704/","2","65","clean site","clean site","clean site","clean site","malicious site","clean site","clean site","clean site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site",NA,"clean site","clean site","clean site","clean site","clean site","malicious site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS20116 CAIXA ECONOMICA FEDERAL","Brasília","Brazil","BR","Caixa Economica Federal",-15.7833,-47.9167,"Caixa Economica Federal","200.201.165.253","DF","Federal District","success","America/Sao_Paulo",""
"3955","ads.undertone.com","2017-05-02 04:32:20","https://www.virustotal.com/url/c8224812c5d2510d775f744e9f696632a2b782872d3d3807a2363103e44e6541/analysis/1493699540/","2","65","clean site","clean site","clean site","clean site","malicious site","clean site","clean site","clean site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","malicious site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS16625 Akamai Technologies, Inc.","Cambridge","United States","US","Akamai Technologies",42.3626,-71.0843,"Akamai Technologies","23.207.195.163","MA","Massachusetts","success","America/New_York","02142"
"4125","api.ipify.org","2017-05-02 16:40:02","https://www.virustotal.com/url/9e6886b350be931fd969e2abc3b7969843f3da46a2db5ceaf6020f8d548cf356/analysis/1493743202/","2","65","clean site","clean site","clean site","clean site","malicious site","clean site","clean site","clean site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","malware site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS14618 Amazon.com, Inc.","Ashburn","United States","US","Amazon.com",39.0481,-77.4728,"Amazon.com","184.72.248.73","VA","Virginia","success","America/New_York","20149"
"4231","users-api.com","2017-05-01 13:03:48","https://www.virustotal.com/url/69c5604307b7c3ceff8c557071e0b7a3857881d1b427de3ebf700227c5b1bb85/analysis/1493643828/","2","64","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","clean site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","malicious site","clean site","clean site","malware site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site",NA,"clean site","clean site",NA,"clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS44066 First Colo GmbH","Frankfurt am Main","Germany","DE","Fornex Hosting S.L.",50.1167,8.6833,"Fornex Hosting S.L.","91.228.155.39","HE","Hesse","success","Europe/Berlin","60438"
"4570","log.go.com","2017-05-01 16:16:33","https://www.virustotal.com/url/af86f06262cd1a8c91498cb2fca2b3e83453c7a3f85ee883559702bb081e8f3b/analysis/1493655393/","2","65","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","malware site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"malware site","unrated site","clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","clean site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS8137 Disney Online","Burbank","United States","US","Disney Online",33.7866,-118.2987,"Disney Online","68.71.222.248","CA","California","success","America/Los_Angeles","91521"
"4693","glotorrents.pw","2017-04-27 15:06:27","https://www.virustotal.com/url/e627287d496166dfefcabcb4c8c77ae0ad2a8dea9fc22a6db7d69c20bdb4565c/analysis/1493305587/","2","64","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","clean site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","malware site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site",NA,"clean site","clean site",NA,"clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","unrated site","clean site","clean site","malicious site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS8426 Claranet Ltd","Lisbon","Portugal","PT","Claranet Portugal Telecomunicacoes S.A.",38.7167,-9.1333,"VIA NET.WORKS Portugal - Tecnologias de Informa,c","195.22.28.198","11","Lisbon","success","Europe/Lisbon","1049-056"
"4862","adlegend.com","2017-04-17 00:37:35","https://www.virustotal.com/url/c293612fac7418630329997802969f5da0925a8b9fe6662ecad1c3b5acebc27c/analysis/1492389455/","2","64","clean site","clean site","clean site","clean site","unrated site","clean site","clean site","clean site","clean site","clean site","clean site",NA,NA,"clean site",NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"malware site","unrated site","clean site",NA,"clean site","clean site",NA,"clean site","clean site","clean site","unrated site","clean site",NA,"unrated site","clean site","clean site","clean site",NA,"clean site","clean site","clean site","clean site","malicious site","clean site",NA,NA,"clean site","clean site","clean site","clean site","clean site","clean site","clean site",NA,"AS20021 HostMySite","Houston","United States","US","HostMySite",29.7702,-95.3628,"HostMySite","204.12.89.69","TX","Texas","success","America/Chicago","77002"
